l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1909,temperature,Night,19.81,19.81,19.88,19.91,19.91,19.93,19.96,19.97
2025-07-22,CC1,CEA1909,temperature target,Night,20,20,20,20,20,20,20,20
2025-07-22,CC1,CEA1909,vapor pressure deficit,Night,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54
2025-07-22,CC1,CEA1909,vapor pressure deficit,Day,0.44,0.44,0.53,0.54,0.52,0.54,0.55,0.55
2025-07-22,CC1,CEA1909,vent required,Day,51.6,60.25,60.9,61.2,61.56,62.55,64.88,65.32
2025-07-22,CC1,CEA1909,vent required,Night,49.88,50.4,51.55,53.65,53.45,54.55,57.1,58.2
2025-07-22,CC1,CEA1910,CO2 sensor,Night,389,390,398.5,417.5,420.77,443,454,455
2025-07-22,CC1,CEA1910,CO2 sensor,Day,364,367,371,376,390.09,405,440,450
2025-07-22,CC1,CEA1910,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1910,heating required,Day,9.1,9.1,51.4,95.65,76.5,99.7,99.95,99.95
2025-07-22,CC1,CEA1910,humidity,Night,74.9,74.9,75,75.1,75.26,75.2,77.1,77.4
2025-07-22,CC1,CEA1910,humidity,Day,74.25,74.5,74.8,75,74.97,75.1,75.3,75.9
2025-07-22,CC1,CEA1910,humidity target,Night,75,75,75,75,75,75,75,75
2025-07-22,CC1,CEA1910,indoor PAR light,Day,598,599,599,600,600.09,600,601,618
2025-07-22,CC1,CEA1910,indoor PAR light,Night,82,82,82,82,159.5,237,237,237
2025-07-22,CC1,CEA1910,indoor daily light integral,Night,0.04,0.11,0.56,1.15,9.83,1.74,36.82,36.89
2025-07-22,CC1,CEA1910,indoor daily light integral,Day,2.04,3.66,10.14,18.78,19.05,27.41,34.43,36.05
2025-07-22,CC1,CEA1910,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1910,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1910,temperature,Day,21.26,24.81,24.9,24.94,24.9,24.95,25.43,25.79
2025-07-22,CC1,CEA1910,temperature,Night,19.88,19.88,19.9,19.91,20.03,19.93,20.25,23.4
2025-07-22,CC1,CEA1910,temperature target,Night,20,20,20,20,21.24,22.49,22.49,22.49
2025-07-22,CC1,CEA1910,temperature target,Day,22.51,22.51,22.51,22.51,22.51,22.51,22.51,22.51
2025-07-22,CC1,CEA1910,vapor pressure deficit,Day,0.63,0.74,0.75,0.75,0.75,0.76,0.77,0.79
2025-07-22,CC1,CEA1910,vapor pressure deficit,Night,0.5,0.5,0.55,0.55,0.55,0.55,0.57,0.69
2025-07-22,CC1,CEA1910,vent required,Day,18.48,31.52,31.88,32.5,32.56,33.05,35.72,40.83
2025-07-22,CC1,CEA1910,vent required,Night,39.95,40.25,40.6,43.4,44.11,47.05,50.45,51.2
2025-07-22,CC1,CEA1912,CO2 sensor,Night,410,412,418,440,445.57,470,497,499
2025-07-22,CC1,CEA1912,heating required,Night,0,0,22.2,74.9,63.42,99.25,99.9,99.9
2025-07-22,CC1,CEA1912,humidity,Night,79.4,79.6,79.9,80.1,80.22,80.2,82.1,84
2025-07-22,CC1,CEA1912,humidity target,Night,80,80,80,80,80,80,80,80
2025-07-22,CC1,CEA1912,indoor PAR light,Night,2,249,249.5,250,244.67,251,251,271
2025-07-22,CC1,CEA1912,indoor daily light integral,Night,0,0.01,0.04,5.37,6.07,10.78,14.5,14.51
2025-07-22,CC1,CEA1912,light operation,Night,0,0,0,0,33.33,100,100,100
2025-07-22,CC1,CEA1912,temperature,Night,15.92,15.93,15.97,21.93,19.96,21.95,22,23.06
2025-07-22,CC1,CEA1912,temperature target,Night,16,16,16,18.99,18,19.01,19.01,19.01
2025-07-22,CC1,CEA1912,vapor pressure deficit,Night,0.33,0.33,0.34,0.5,0.45,0.5,0.51,0.55
2025-07-22,CC1,CEA1912,vent required,Night,24.8,34.08,36.23,37.2,41.78,50.1,55.25,57
2025-07-22,CC1,CEA1913,CO2 sensor,Night,413,432,441,452,452.44,459,478,480
2025-07-22,CC1,CEA1913,CO2 sensor,Day,406,406.5,413,428,430.79,451,458,476
2025-07-22,CC1,CEA1913,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1913,heating required,Day,0.75,0.75,0.75,35.3,49.92,65.75,97.9,97.9
2025-07-22,CC1,CEA1913,humidity,Day,66.6,69.2,70.9,72.3,72.66,73.75,77.4,81.8
2025-07-22,CC1,CEA1913,humidity,Night,67.85,67.85,77.5,82.1,80.08,83.1,83.45,84.55
2025-07-22,CC1,CEA1913,humidity target,Night,70,70,70,70,70,70,70,70
2025-07-22,CC1,CEA1913,indoor PAR light,Day,500,500,500,500,501.87,500,500,602
2025-07-22,CC1,CEA1913,indoor PAR light,Night,32,32,32,32,134.25,236.5,236.5,236.5
2025-07-22,CC1,CEA1913,indoor daily light integral,Day,0.8,1.72,7.12,13.43,13.2,19.73,24.68,25.58
2025-07-22,CC1,CEA1913,indoor daily light integral,Night,0.02,0.04,0.27,25.92,15.79,26.21,26.44,26.5
2025-07-22,CC1,CEA1913,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1913,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1913,temperature,Day,20.77,23.41,23.96,23.98,23.95,23.99,24.02,25.92
2025-07-22,CC1,CEA1913,temperature,Night,18.8,19.1,19.9,19.91,19.97,19.94,20.53,23.39
2025-07-22,CC1,CEA1913,temperature target,Day,22.01,22.01,22.01,22.01,22.01,22.01,22.01,22.01
2025-07-22,CC1,CEA1913,temperature target,Night,20,20,20,20,20.99,21.99,21.99,21.99
2025-07-22,CC1,CEA1913,vapor pressure deficit,Night,0.41,0.44,0.45,0.48,0.53,0.57,0.68,1
2025-07-22,CC1,CEA1913,vapor pressure deficit,Day,0.62,0.73,0.86,0.9,0.89,0.94,1,1.22
2025-07-22,CC1,CEA1913,vent required,Night,19,28.98,29.9,32.7,39.87,35.2,92.25,98.65
2025-07-22,CC1,CEA1913,vent required,Day,13.7,16.05,30.77,31.75,32.79,33.65,37.15,76.8
2025-07-22,CC1,CEA1914,CO2 sensor,Day,430,432,435,440,452.17,466,496,500
2025-07-22,CC1,CEA1914,CO2 sensor,Night,447,449,456,472,475.42,498.5,506,508
2025-07-22,CC1,CEA1914,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1914,humidity,Day,79.7,79.8,80,80.1,80.57,80.8,82.75,83.7
2025-07-22,CC1,CEA1914,humidity,Night,78.05,79.9,80.3,80.7,80.82,81.4,82,82
2025-07-22,CC1,CEA1914,humidity target,Night,80,80,80,80,80,80,80,80
2025-07-22,CC1,CEA1914,indoor PAR light,Day,248,248,248.5,248.5,248.94,249,251.5,262
2025-07-22,CC1,CEA1914,indoor PAR light,Night,51,51,51,51,100.25,149.5,149.5,149.5
2025-07-22,CC1,CEA1914,indoor daily light integral,Night,0.02,0.07,0.35,0.71,4.33,1.08,15.79,15.83
2025-07-22,CC1,CEA1914,indoor daily light integral,Day,1.26,1.93,4.63,8.21,8.32,11.79,14.7,15.37
2025-07-22,CC1,CEA1914,light operation,Day,100,100,100,100,100,100,100,100
